Sr No,Member Id,Unit Name,Contact Person,Chapter,Category
63,131,Amar Alum & Allied Chemicals ( P ) Ltd.,Nand Lal Garg,Bareilly,CHEMICAL & PETROLEUM
64,132,Amar Ayurved Bhawan,Sanjay Kumar Sharma,Bareilly,PHARMACEUTICAL & MEDICAL PRODUCTS
65,133,Amar Sulpha Chemicals ( P ) Ltd.,Vinod Kumar Garg,Bareilly,CHEMICAL & PETROLEUM
66,134,Anand & Company,Anand Prakash,Bareilly,SERVICE
67,135,Apaar Enterprises,Sumit Agarwal,Bareilly,AGRO & FOOD PROCESSING
68,138,B. D. Aromatics Pvt. Ltd.,Bineet Agarwal,Bareilly,AGRO & FOOD PROCESSING
69,139,Bajaj & Arora,Vishal Arora ,Bareilly,SERVICE
70,140,Bajrang Auto Service,Mahendra Kumar Agarwal,Bareilly,CHEMICAL & PETROLEUM
71,143,Gujral Associates,Paramjeet Singh Gujral,Bareilly,AGRO & FOOD PROCESSING
72,144,Bareilly Plywood Industries Pvt. Ltd.,I.D. Arora,Bareilly,WOOD  & WOOD PROUCTS
73,145,Bhagwati Pet (India) Pvt. Ltd.,Rajesh Mehrotra,Bareilly,PLASTIC & PLASTIC PRODUCTS
74,148,Bhai Ji Ettar Wale,Jatinder Singh,Bareilly,COSMETIC & PERFUMES
75,151,Dhir Food Company Pvt. Ltd.,Manohar Lal Dheerwani MAYUR DHIRWANI,Bareilly,AGRO & FOOD PROCESSING
76,152,Dinesh Chandra Khandelwal,Dinesh Chandra Khandelwal,Bareilly,SERVICE
77,155,G. M. Pharmacy ( Regd. ),R. K. Agarwal,Bareilly,PHARMACEUTICAL & MEDICAL PRODUCTS
78,157,SHRI GANGA VENEERS AND PLYBOARD (P) LTD,Rajendra Arora,Bareilly,WOOD  & WOOD PROUCTS
79,158,Ganpati Soya Foods,Piyush Kumar Agarwal,Bareilly,AGRO & FOOD PROCESSING
80,159,Gaurav Brick Works,Deepak Kumar,Bareilly,BUILDING & CONSTRUCTION MATERIALS
81,160,Gaurav Energen India Pvt. Ltd. ,Tanuj Bhasin,Bareilly,ELECTRICAL & ELECTRONICS
82,161,Sarnath Motors Ltd.,Ravi Agarwal,Bareilly,SERVICE
83,162,Global Marketing Company,Arvind Gupta,Bareilly,SERVICE
84,163,Gold Coin Supreme Rubbers,Alok Agarwal,Bareilly,RUBBER & RUBBER PRODUCTS
85,164,Varun Distributors,Vipin Kumar Gupta,Bareilly,GLASS & CERAMICS
86,165,Shri Balaji Pet Industries,Pankaj Agarwal,Bareilly,PLASTIC & PLASTIC PRODUCTS
87,166,Shri Badrish Traders,"Amit Agarwal, Ashish Agarwal",Bareilly,
88,167,Manglam Chemical Pvt. Ltd.,Sushil Kumar,Bareilly,CHEMICAL & PETROLEUM
