Sr No,Member Id,Unit Name,Contact Person,Chapter,Category
1026,1941,Umesh Ku. Goel(Adv),Umesh Ku. Goel,Muzaffarnagar,SERVICE
1027,1943,Parvatiya Plywood (P) Ltd.,"Akhilesh Pratap Saraswat, Managing Director",Nainital ,WOOD  & WOOD PROUCTS
1028,1945,Ambica Board Industries,"Davender Agarwal, Shobit Agarwal",Bijnor,WOOD  & WOOD PROUCTS
1029,1946,Varun Garamodyog,Rajiv Lahoti,Bijnor,AGRO & FOOD PROCESSING
1030,1948,Jain Cold Storage & ICE Factory,Anup Jain,Bijnor,AGRO & FOOD PROCESSING
1031,1950,Kalra Cycle Parts Industries,Ved Prakash Kalra,Bijnor,BICYCLES / RICKSHAW & COMPONENTS
1032,1951,Bharat Banquets,Shohil Rahman,Bijnor,SERVICE
1033,1952,M.R. Diesels,S.B. Mathur,Bijnor,SERVICE
1034,1954,Mittal Metal Industries,Er. Satya Prakash Mittal,Bijnor,METAL
1035,1955,Naaj Ply Board,Mohd. Yaqub,Bijnor,WOOD  & WOOD PROUCTS
1036,1956,M.M. Exim (P) Ltd.,Avdesh Agarwal,Bijnor,AGRO CHEMICAL & FERTILISERS
1037,1957,Chandra Katha Industries,Rakesh Kumar Agarwal,Bijnor,AGRO & FOOD PROCESSING
1038,1958,Ruchi Enterprises,Anil Kumar Agaral,Bijnor,WOOD  & WOOD PROUCTS
1039,1960,Sethi Board Industries,Ramesh Chand Sethi,Bijnor,AGRO CHEMICAL & FERTILISERS
1040,1961,Shiva Audyogic Sansthan,Shalabh Kumar,Bijnor,AGRO CHEMICAL & FERTILISERS
1041,1962,Shree Badri Kedar Paper (P) Ltd.,Arvind Kumar,Bijnor,"PAPER, PRINTING & PUBLISHING"
1042,1963,Singhal Refinery,Alok Kumar,Bijnor,MISCELLANEOUS
1043,1964,Taj Board Industries,Moh. Idris Ansari,Bijnor,WOOD  & WOOD PROUCTS
1044,1965,United Enterprises,Amrik Singh,Bijnor,WOOD  & WOOD PROUCTS
1045,1966,Ambica Engineers ,Amit Garg ,Meerut,BUILDING & CONSTRUCTION MATERIALS
1046,1967,Apex Plastics,Anil Jain,Rae Bareli,PLASTIC & PLASTIC PRODUCTS
1047,1968,B. K. Cement Pipe Mfg. Co.,"Sharad Sangal, M. L. Sangal",Rae Bareli,CEMENT & CEMENT PRODUCTS
1048,1969,Bhargava Engineering Corporation,Atul Bhargava,Rae Bareli,BUILDING & CONSTRUCTION MATERIALS
1049,1971,Ferro Buildhards ( I ) Pvt. Ltd.,Nitin Gupta,Rae Bareli,MACHINERY EQUIPMENTS
1050,1972,Agarwal Poly Pack,Rashmi Agarwal,Rae Bareli,PACKAGING
,,,,,
1051,1974,Kirti Udyog,T. N. Khubele,Rae Bareli,PLASTIC & PLASTIC PRODUCTS
1052,1975,Rae Bareli Flour Mills ( P ) Ltd.,S. L. Chandwani,Rae Bareli,AGRO & FOOD PROCESSING
1053,1976,Rae Bareli Spun Pipes,"Ajeet Puri, Karan Puri",Rae Bareli,CEMENT & CEMENT PRODUCTS
1054,1977,Rajshi Processors,A. K. Lakhotia,Rae Bareli,ENGINEERING COMPONENTS & SUPPLIES
1055,1978,Shree Krishna Food Products,Umesh Sikariya,Rae Bareli,AGRO & FOOD PROCESSING
1056,1979,Shri Shri Niwasji Oil Refiners Pvt. Ltd. ,"Subhash Singhal, Sanjeev Singhal ",Rae Bareli,AGRO & FOOD PROCESSING
1057,1981,Singhal Roller Flour Mills,Pradeep Singhal,Rae Bareli,AGRO & FOOD PROCESSING
1058,1982,Sonex India,"Sandeep Soni, R.K. Soni",Rae Bareli,PACKAGING
1059,1985,Shakti Agency,Sanjay Sabharwal,Rae Bareli,MISCELLANEOUS
1060,1986,Techno Plastic,"Ajay Kumar Kansal, Saurabh Kansal",Rae Bareli,PLASTIC & PLASTIC PRODUCTS
1061,1987,U. P.Transformers ( India ) Pvt. Ltd.,"Pradeep Azad, Udit Azad",Rae Bareli,ELECTRICAL & ELECTRONICS
1062,1988,Vijay Fasteners & Precision Works,"Manas Awasthi, Pankaj Awasthi, Smt vijai Laxmi",Rae Bareli,MISCELLANEOUS
1063,1989,Accurate Pressings,Meera Gupta P.K.Gupta,Rae Bareli,ENGINEERING COMPONENTS & SUPPLIES
1064,1992,Fine Organics,Mr. Neeraj Gupta,Rampur,AGRO & FOOD PROCESSING
1065,1993,Jaina Sales Corp.,Rajan Jain,Rampur,ELECTRICAL & ELECTRONICS
1066,1994,Jolly Videotronics,Mr. Vijay Jolly,Rampur,ELECTRICAL & ELECTRONICS
1067,1999,S. K. Diesel Sales & Service (P) Ltd.,S. K. Agarwal,Rampur,ELECTRICAL & ELECTRONICS
1068,2004,Shakun Products (India) ,Veerbhan Bhateja,Saharanpur,AGRO & FOOD PROCESSING
1069,2005,A. G. Pack,"Amit Goel,Anit Goel",Saharanpur,PACKAGING
1070,2006,A. K. Jain & Associates,A. K. Jain,Saharanpur,SERVICE
1071,2009,Gurshyam Formulation Pvt. Ltd.,Man Mohan Singh ,Saharanpur,PHARMACEUTICAL & MEDICAL PRODUCTS
1072,2010,Aggarwal Electrical Industries  ,Dinesh Aggarwal  ,Saharanpur,ELECTRICAL & ELECTRONICS
1073,2011,Aggra Lube Industries  ,Rajeev Aggarwal  ,Saharanpur,CHEMICAL & PETROLEUM
1074,2012,Aggarwal Zarda Factory Pvt. Ltd.,Subhash Chand Aggarwal,Saharanpur,AGRO & FOOD PROCESSING
1075,2014,Amar Jyoti Industry ,Amar Kumar Gupta,Saharanpur,ENGINEERING COMPONENTS & SUPPLIES
1076,2015,Amar Furnishers,Sr. Prabhjot Singh,Saharanpur,FURNITURE & FURNISHINGS
1077,2017,Anand Food Products,Praveen Ahuja,Saharanpur,AGRO & FOOD PROCESSING
1078,2018,Benchmark Esolutions LLP,Robin Kumar Garg ,Saharanpur,PHARMACEUTICAL & MEDICAL PRODUCTS
1079,2019,Aradhana Offset Printers,Ashish Singhal,Saharanpur,"PAPER, PRINTING & PUBLISHING"
1080,2020,Arora Hosiery ,Rakesh Arora ,Saharanpur,TEXTILE & GARMENTS
1081,2022,Arun Packing Industries,Arun Kumar Jain,Saharanpur,PACKAGING
1082,2024,Arvind Textile,Sandeep Aggarwal,Saharanpur,TEXTILE & GARMENTS
1083,2026,Asian Plastic Industries,Gulshan Kumar,Saharanpur,PLASTIC & PLASTIC PRODUCTS
1084,2027,Avinash Hosiery,"Vijay, Avinash Kumar Arora",Saharanpur,TEXTILE & GARMENTS
1085,2028,Avon Furniture House,Sh. Surender Mohan kalra,Saharanpur,FURNITURE & FURNISHINGS
1086,2030,Bondwell Adhesives,Sh. Krishan Rajiv Singhal,Saharanpur,PACKAGING
1087,2031,B. B. Rampal & Co.,B.B.Rampal,Saharanpur,TEXTILE & GARMENTS
1088,2032,Bajaj & Associates,Manmeet Singh Bajaj,Saharanpur,SERVICE
1089,2034,Bajaj Jewellers,Rakesh Arora,Saharanpur,GEMS & JEWELRY
1090,2035,Bajaj Foods ,Sanjay Bajaj,Saharanpur,AGRO & FOOD PROCESSING
1091,2036,Horizon Reclaim (India) Pvt. Ltd. ,Sh Mohit Bajaj ,Saharanpur,FOOTWEAR & LEATHER
1092,2037,Bajaj Industries,Mrs. Sushma Bajaj,Saharanpur,FOOTWEAR & LEATHER
1093,2038,Balaji Enterprises,Rajkamal Aggarwal,Saharanpur,AGRO & FOOD PROCESSING
1094,2040,Bashir Handicrafts Center,Bashir Ahmed,Saharanpur,FURNITURE & FURNISHINGS
1095,2043,Nirala Sabun Udyogik Udpadan Sahkari Samiti Ltd.,Manish Kumar Dang.,Saharanpur,SOAP & DETERGENT
1096,2045,Bhagwati Chemicals,Sanjay Kumar Garg,Saharanpur,"PAPER, PRINTING & PUBLISHING"
1097,2047,Bharat Packers,Anoop Khanna,Saharanpur,PACKAGING
1098,2048,Bharat Rubber Industries,Ramnath Sharma,Saharanpur,RUBBER & RUBBER PRODUCTS
1099,2050,Bharti Dairy,Krishan Lal,Saharanpur,AGRO & FOOD PROCESSING
1100,2051,Bhartiya Bootee Bhawan,Anil kumar Aggarwal,Saharanpur,PHARMACEUTICAL & MEDICAL PRODUCTS
,,,,,
1101,2052,Bhatia Trading Co.,Gulshan Bhatia/Sushil Bhatia,Saharanpur,CHEMICAL & PETROLEUM
1102,2055,Booteesa Pharmaceuticals,P. K. Aggarwal,Saharanpur,PHARMACEUTICAL & MEDICAL PRODUCTS
1103,2056,Chhabra Oil And Rice Mill,Deepak Chhabra ,Saharanpur,AGRO & FOOD PROCESSING
1104,2058,Classic Gifts LLP,Manish Mediratta  ,Saharanpur,FURNITURE & FURNISHINGS
1105,2060,Construction Care,J.K. Gupta,Saharanpur,SERVICE
1106,2061,Cosmo Bakers,Vijay Khurana,Saharanpur,AGRO & FOOD PROCESSING
1107,2062,Crop Power Agro Industries,Pradeep Handa,Saharanpur,AGRO CHEMICAL & FERTILISERS
1108,2063,D.R. Material Solutions,Sunil Kumar,Saharanpur,CEMENT & CEMENT PRODUCTS
1109,2065,Economical Hindustan Labs ,Vineet Madan ,Saharanpur,PHARMACEUTICAL & MEDICAL PRODUCTS
1110,2066,Global Industries ,"Navdeep, Rajneesh Bajaj",Saharanpur,SPORTS GOODS
1111,2069,Envin Foods and Industries Pvt Ltd ,Sudhakar Aggarwal,Saharanpur,PHARMACEUTICAL & MEDICAL PRODUCTS
1112,2073,Friends Trading Co,Anuj Jain,Saharanpur,PAINTS & VARNISHES
1113,2074,GOOD KARE MEDICO (P) Ltd,Vinod Kumar  ,Saharanpur,PHARMACEUTICAL & MEDICAL PRODUCTS
1114,2082,Gita Pumps India Pvt. Ltd.,B S Saini,Saharanpur,MACHINERY EQUIPMENTS
1115,2087,H And T Engineers,Hans Kumar ,Saharanpur,MACHINERY EQUIPMENTS
1116,2089,H K Printers ,Sharad Bhargava  ,Saharanpur,"PAPER, PRINTING & PUBLISHING"
1117,2090,Handson Pharma ( P ) Ltd,Anil Tuli ,Saharanpur,PHARMACEUTICAL & MEDICAL PRODUCTS
1118,2092,Harjeet Steel Industries  ,Harjeet Singh ,Saharanpur,ENGINEERING COMPONENTS & SUPPLIES
1119,2093,Ishwar Electricals & Process Services ,Satyendra Gaur ,Saharanpur,ELECTRICAL & ELECTRONICS
1120,2094,Pandit Ji Pumps (India),Sushil Kumar Sharma,Saharanpur,MACHINERY EQUIPMENTS
1121,2096,Hotal Punjab ,Sardar Surjeet Singh ,Saharanpur,SERVICE
1122,2097,I.T.C. Ltd.,Gaurav Tayal,Saharanpur,AGRO & FOOD PROCESSING
1123,2099,Indian Herbs Specialities Private Limited ,"Sudhakar Aggarwal, Managing Director",Saharanpur,PHARMACEUTICAL & MEDICAL PRODUCTS
1124,2100,Indian Village Handicrafts ,Haji Rafiq Ahmad ,Saharanpur,FURNITURE & FURNISHINGS
1125,2102,Indus Plast (P) Ltd. ,Vinay Kumar Dahuja ,Saharanpur,PLASTIC & PLASTIC PRODUCTS
1126,2103,Interior Decoration & Handicraft,mohd Shaukat Ali,Saharanpur,FURNITURE & FURNISHINGS
1127,2104,J.J.Textiles ,Vipul Jain ,Saharanpur,TEXTILE & GARMENTS
1128,2108,Jain Engg. And Moulding Works ,Vipin Kumar Jain ,Saharanpur,ENGINEERING COMPONENTS & SUPPLIES
1129,2109,K. G. Food Gramodyog Sansthan ,Sanjay Arora,Saharanpur,AGRO & FOOD PROCESSING
1130,2110,Kamal Ayurvedic Herbs ,Kamal Jain ,Saharanpur,PHARMACEUTICAL & MEDICAL PRODUCTS
1131,2111,Kamboj Enterprises ,Susheel Kamboj ,Saharanpur,ELECTRICAL & ELECTRONICS
1132,2112,Kamdhenu Feeds ,S.P. Sharma ,Saharanpur,AGRO & FOOD PROCESSING
1133,2113,Kay Kay Chemicals,Sandeep Arora,Saharanpur,CHEMICAL & PETROLEUM
1134,2114,Keshav Resign Coats ( P ) Ltd.,Arvind Aggarwal,Saharanpur,MISCELLANEOUS
1135,2115,Bombay Plastics House,Moh. Aftab Ali Khan,Saharanpur,PLASTIC & PLASTIC PRODUCTS
1136,2116,Khurana Food Product,Rakesh Khurana,Saharanpur,AGRO & FOOD PROCESSING
1137,2118,Kissan Steel Agriculture ,Dilshad Ahmed ,Saharanpur,AGRICULTURE  IMPLEMENTS  &  MACHINERY
1138,2121,Krishna Gramodyog Samiti,Ramesh Nagpal ,Saharanpur,AGRO & FOOD PROCESSING
1139,2123,Krishna Hosiery,Sushil Sadana,Saharanpur,TEXTILE & GARMENTS
1140,2127,Saba Plastic Corporation,M.M.Azmi,Noida,PLASTIC & PLASTIC PRODUCTS
1141,2128,Lakshmi Abrassive (P) Ltd ,Vijay Gupta ,Saharanpur,MISCELLANEOUS
1142,2129,M.K. Gupta & Associates,M.K. Gupta,Saharanpur,SERVICE
1143,2131,M. R. Engg. Works ,Parveen Sadana ,Saharanpur,ENGINEERING COMPONENTS & SUPPLIES
1144,2132,Mahabir Enterprises,Rajinder Gaba,Saharanpur,PLASTIC & PLASTIC PRODUCTS
1145,2133,Mahabir Pipe Traders,Sumit Miglani,Saharanpur,HOUSEHOLD ITEMS
1146,2134,Mahalaxmi Roller Flour Mills,Harvinder Khanduja ,Saharanpur,AGRO & FOOD PROCESSING
1147,2135,Makani Rubber Products,Arun Sadana ,Saharanpur,RUBBER & RUBBER PRODUCTS
1148,2136,Makkar Hosiery Factory,Kishan Lal Makkar,Saharanpur,TEXTILE & GARMENTS
1149,2137,Saraswati Offset,Vijay Deshwal,Saharanpur,"PAPER, PRINTING & PUBLISHING"
1150,2140,Mansarover Plastics,Sh. Sharwan Goel / Yoesh Garg,Saharanpur,PLASTIC & PLASTIC PRODUCTS
,,,,,
1151,2142,Markandaya Plywood (P) Ltd.,"S. Harjeet Singh, Sh. Prabjeet Singh",Saharanpur,WOOD  & WOOD PROUCTS
1152,2143,SARITA HANDA EXPORTS PVT. LTD,RAHUL PURI,Delhi,TEXTILE & GARMENTS
1153,2144,Mehra Marbles ,Vyom Mehra ,Saharanpur,BUILDING & CONSTRUCTION MATERIALS
1154,2145,Miglani Export ,Ravinder Miglani ,Saharanpur,FURNITURE & FURNISHINGS
1155,2146,Miglani Industries,Pramod Miglani,Saharanpur,ENGINEERING COMPONENTS & SUPPLIES
1156,2147,Miglani Knit Wears,Subhash Miglani,Saharanpur,TEXTILE & GARMENTS
1157,2148,Mittal Machines Pvt. Ltd.,Atul Mittal,Saharanpur,MACHINERY EQUIPMENTS
1158,2152,Mukesh K Goel Associates ,Mukesh Kumar Goel ,Saharanpur,SERVICE
1159,2153,N.K. Spices,Naveen Arora,Saharanpur,AGRO & FOOD PROCESSING
1160,2154,Ajay Enterprises,Sh. Onkar Singh ,Saharanpur,ENGINEERING COMPONENTS & SUPPLIES
1161,2159,New Light Drawing Emporium,Mohd. Ikram Hanfi,Saharanpur,FURNITURE & FURNISHINGS
1162,2160,Krishna Pipe,Vijay Sadana,Saharanpur,PLASTIC & PLASTIC PRODUCTS
1163,2161,Nova Products,sh. Rajesh/Rakesh Sapra,Saharanpur,PAINTS & VARNISHES
1164,2163,Om steel Industries,Sh. Raman Makkar,Saharanpur,METAL
1165,2164,Orient Packagings Ltd.,M. P. Dixit,Saharanpur,PACKAGING
1166,2165,Leo Arts (India),Parvinder Singh,Saharanpur,FURNITURE & FURNISHINGS
1167,2166,Paperex Packers,Juned Sayeed,Saharanpur,PACKAGING
1168,2174,Prem Enterprises,Deepak Bansal,Saharanpur,MACHINERY EQUIPMENTS
1169,2175,Punjab Agricultural Implement (P) Ltd.,Sandeep Kapoor,Saharanpur,AGRICULTURE  IMPLEMENTS  &  MACHINERY
1170,2177,R.A. Traders And Engineers Pvt. Ltd.,Rizwan Ahmed,Saharanpur,RUBBER & RUBBER PRODUCTS
1171,2178,R.C. Paper Machines,Rohit Malhotra,Saharanpur,MACHINERY EQUIPMENTS
1172,2180,R. P. J. Technologies ( P ) Ltd.,Rajeev Jain,Saharanpur,SERVICE
1173,2181,R.S. Enterprises,R.K. Dhawan,Saharanpur,RUBBER & RUBBER PRODUCTS
1174,2183,Radha Soami Apparels ,Rajnesh Bharati,Saharanpur,TEXTILE & GARMENTS
1175,2184,Raheja Chemicals ( P ) Ltd.,Pankaj Raheja,Saharanpur,CHEMICAL & PETROLEUM
1176,2185,Haryana Rice Mills (P.) Ltd. ,Manoj Kumar Singhal,Saharanpur,AGRO & FOOD PROCESSING
1177,2187,Rana Masala Udyog (R),Devendra Jain,Saharanpur,AGRO & FOOD PROCESSING
1178,2188,Rana Packers,Vinod Rana,Saharanpur,PACKAGING
1179,2190,Shivalik Cotsyn Ltd.,Subhash Gupta,Saharanpur,TEXTILE & GARMENTS
1180,2191,Sachdeva Soap & Chemicals,"Rajeev Kumar Sachdeva, Sanjeev Kumar Sachadeva",Saharanpur,SOAP & DETERGENT
1181,2193,Bawa Kitchen Appliances (p) Ltd.,Sanjeev Kapoor Jitender Kapoor,Saharanpur,ENGINEERING COMPONENTS & SUPPLIES
1182,2196,Simpa Food (India),Harvinder Singh,Saharanpur,AGRO & FOOD PROCESSING
1183,2198,Singhal Bolt And Agricultural Industries ,Rakesh Singhal,Saharanpur,AGRICULTURE  IMPLEMENTS  &  MACHINERY
1184,2199,Standard Sweets & Snacks,Kshitij Arora,Saharanpur,AGRO & FOOD PROCESSING
1185,2200,Star Paper Mills Ltd.,Sh.,Saharanpur,"PAPER, PRINTING & PUBLISHING"
1186,2201,Star Automobiles Service,"Atul Goel,Satish chand goel",Saharanpur,CHEMICAL & PETROLEUM
1187,2202,Super Rubber Industry,Jaswant Kumar,Saharanpur,RUBBER & RUBBER PRODUCTS
1188,2205,Surya Chains (P) Ltd.,S.K.Gupta,Saharanpur,MACHINERY EQUIPMENTS
1189,2207,Swati Auto Engineers ,V.K.Jain,Saharanpur,AUTOMOBILE & AUTO PARTS
1190,2208,Talwar Industries,Madan Talwar,Saharanpur,RUBBER & RUBBER PRODUCTS
1191,2209,Talwar Marketing ( P ) Ltd.,Mahender Talwar,Saharanpur,SERVICE
1192,2210,Tarawati Super Speciality Hospital ,Dr. Jaipal Chand ,Saharanpur,SERVICE
1193,2211,Hindustan Engg. (P) Ltd.,Dr. D.K. Swarup,Saharanpur,PLASTIC & PLASTIC PRODUCTS
1194,2212,The Straw Board Mfg Co Ltd,Shirish Raj,Saharanpur,MISCELLANEOUS
1195,2213,Thermo Fab Engineers,V. K. Jain,Saharanpur,MACHINERY EQUIPMENTS
1196,2214,Namaha Enterprises,Sh. Nikhil Bansal,Saharanpur,"PAPER, PRINTING & PUBLISHING"
1197,2215,Tropicana World Linkers,Mohd. Parvez W. Rasooll,Saharanpur,FURNITURE & FURNISHINGS
1198,2216,Asia Foundry,Mohd. Rashid,Saharanpur,MACHINERY EQUIPMENTS
1199,2217,Unique Packaging Industry ,S. Kumar Arora ,Saharanpur,PACKAGING
1200,2218,U M Autocomp Private Limited,Sh. S.M. Pilllai (Manager),Saharanpur,AUTOMOBILE & AUTO PARTS
,,,,,
1201,2219,Universal Engineering Corporation,M.A. Sabri,Saharanpur,"PAPER, PRINTING & PUBLISHING"
1202,2220,Geeta Child Care Clinic ,Dr. Vinod Pundir ,Saharanpur,SERVICE
1203,2221,Vardhman Industries,Sanjay Jain,Saharanpur,ELECTRICAL & ELECTRONICS
1204,2222,Vidyarthi Prakashan Ltd.,"Sh. Deepak Aggarwal, Sh. Ashok Kumar Agarwal",Saharanpur,"PAPER, PRINTING & PUBLISHING"
1205,2223,"Vineet Mittal, L I C Agent",Vineet Mittal,Saharanpur,SERVICE
1206,2224,Vishal Pipe Factory,Subhash Kalra,Saharanpur,CEMENT & CEMENT PRODUCTS
1207,2226,Vishwakarma Machinery Works,Param Jeet Singh,Saharanpur,MACHINERY EQUIPMENTS
1208,2227,Wrought Iron Handicraft,Abdul Qadir,Saharanpur,HANDICRAFT &GIFTS
1209,2228,Hans Herbal Nari Gramodyog Sewa Sansthan (Regd.) ,Tribhuwan Allahabadi (Tony),Saharanpur,PHARMACEUTICAL & MEDICAL PRODUCTS
1210,2229,Weber Consultancy Services (P) Ltd,Manu Agarwal,Noida,INFORMATION TECHNOLOGY & TELECOM  PRODUCTS
1211,2230,h. Zaheer Ahmad And Sons  ,Pravez Akhtar Ansari  ,Saharanpur,FURNITURE & FURNISHINGS
1212,2231,Durga Pipe Products,"Rishi Kapoor, Proprietor",Shahjahanpur,BUILDING & CONSTRUCTION MATERIALS
1213,2232,Haryana Oil Mill,Amit Garg,Shahjahanpur,AGRO & FOOD PROCESSING
1214,2234,Suman Consultants,"Suman Chandra Gupta, Proprietor",Shahjahanpur,SERVICE
1215,2235,Bhawani Acids & Alkalies Pvt. Ltd.,Ashok Kumar Mittal,Shamli,ENGINEERING COMPONENTS & SUPPLIES
1216,2236,Alok Rim Udyog (P) Limited,ATUL JAIN,Shamli,ENGINEERING COMPONENTS & SUPPLIES
1217,2237,Shri Kamta Prasad Swea Ram Jain,Amar Jain,Shamli,WOOD  & WOOD PROUCTS
1218,2238,Baba Alloys (P) Limited,Sharad Bansal,Shamli,ENGINEERING COMPONENTS & SUPPLIES
1219,2239,Vardhman Agro Industries,Arun Jain,Shamli,AGRICULTURE  IMPLEMENTS  &  MACHINERY
1220,2240,Deepak Wheels Pvt. Ltd.,Deepak Jain,Shamli,AGRICULTURE  IMPLEMENTS  &  MACHINERY
1221,2242,Goel Polymers,Kamal Goel,Shamli,PLASTIC & PLASTIC PRODUCTS
1222,2243,HIMENVIRO ENVIRONMENTAL ENGINEERING COMPANY PVT. LTD.,RAJKUMAR GARG,Shamli,MACHINERY EQUIPMENTS
1223,2244,J.S.Jain Agro Industries (P) Limited,Jinendra Kumar Jain,Shamli,AGRICULTURE  IMPLEMENTS  &  MACHINERY
1224,2245,Jai Bharat Industries,Vineet Goel,Shamli,METAL
1225,2246,Jay Bharat Metal Industries,Vipul  kUMAR Mittal,Shamli,ENGINEERING COMPONENTS & SUPPLIES
1226,2247,Jai Kunwar Mal Mussaddi Lal Jain,Nirmal Jain,Shamli,ENGINEERING COMPONENTS & SUPPLIES
1227,2248,Roorkee Engg. Managing Tech. Institute,Biresh Jain,Shamli,SERVICE
1228,2251,Baba Tractors,Gurjeet Singh Bedi,Shamli,AGRICULTURE  IMPLEMENTS  &  MACHINERY
1229,2253,Mahaveer Udyog ,Mayank Jain ,Shamli,AGRICULTURE  IMPLEMENTS  &  MACHINERY
1230,2254,Navin Iron Foundry,Narendra Kumar Aggarwal,Shamli,ENGINEERING COMPONENTS & SUPPLIES
1231,2255,Nikita Papers Limited,Ashok Bansal,Shamli,"PAPER, PRINTING & PUBLISHING"
1232,2256,Laxmi Industries,Kuldeep Sharma,Shamli,AGRICULTURE  IMPLEMENTS  &  MACHINERY
1233,2258,S.S. Electrical Enterprises,AMIT AGARWAL,Shamli,ELECTRICAL & ELECTRONICS
1234,2259,Sagar Ice Factory,Satendra kumar Jain,Shamli,AGRO & FOOD PROCESSING
1235,2260,Samrat Agro Industries,Dinesh Dhiman,Shamli,AGRICULTURE  IMPLEMENTS  &  MACHINERY
1236,2261,Ridhi Siddi Aluminiums,Mahesh Jain,Shamli,MISCELLANEOUS
1237,2263,Shakti Metal Industries,Parmod Mittal,Shamli,ENGINEERING COMPONENTS & SUPPLIES
1238,2264,Shamli Steels (P) Limited,SUDHIR BANSAL,Shamli,ENGINEERING COMPONENTS & SUPPLIES
1239,2265,Sherya Paper Tubes (P) Limited,Rajan Batra,Shamli,"PAPER, PRINTING & PUBLISHING"
1240,2267,Shyam Agro Industries,Radhey Shyam,Shamli,AGRICULTURE  IMPLEMENTS  &  MACHINERY
1241,2270,Standard Auto Gen. Engineers,Parminder Singh,Shamli,
1242,2271,Surya Industries,Rajiv Goel,Shamli,ENGINEERING COMPONENTS & SUPPLIES
1243,2272,Swastik Pulses Industries (P) Limited,Mohit Jain,Shamli,AGRO & FOOD PROCESSING
1244,2274,Gulshan Chemical Industries,Pankaj Jain,Shamli,CHEMICAL & PETROLEUM
1245,2275,Amiri Meta Industries,Mukesh Gupta,Shamli,METAL
1246,2276,Aadhinath Industris,Ashok Kumar Jain,Shamli,AGRICULTURE  IMPLEMENTS  &  MACHINERY
1247,2277,Jain Engineering Co.,AMIT JAIN ,Shamli,ENGINEERING COMPONENTS & SUPPLIES
1248,2278,Platnium Rubber Pvt. Ltd.,AMIT KHOKHER,Shamli,RUBBER & RUBBER PRODUCTS
1249,2280,Dhiman Engineering Co.,Subhash Dhiman,Shamli,ENGINEERING COMPONENTS & SUPPLIES
1250,2282,KRISHNA TRADERS,ASHISH AGGARWAL ,Shamli,METAL
,,,,,
1251,2283,Hanuman Spoons,Pradeep Goel,Shamli,WOOD  & WOOD PROUCTS
1252,2284,Indo-Bio Agro Industries,Pramesh Tayal,Shamli,AGRO CHEMICAL & FERTILISERS
1253,2286,J.K. Industries,Satish Goel,Shamli,ENGINEERING COMPONENTS & SUPPLIES
1254,2287,Motherland Public School,Chetan Munjaal,Shamli,SERVICE
1255,2288,Jain Sudhir & Associates,Sudhir Jain,Shamli,SERVICE
1256,2289,Tilkesh Enterprises,Deepak Jain,Shamli,MISCELLANEOUS
1257,2290,Chakarwarti Minerals,Rajneesh Goel,Shamli,AGRO & FOOD PROCESSING
1258,2291,Laxmi Agro Industries,Anil Kumar Kachhal,Shamli,AGRICULTURE  IMPLEMENTS  &  MACHINERY
1259,2292,Luxmi Pulses (P) Limited,Praveen Mittal,Shamli,AGRO & FOOD PROCESSING
1260,2293,Mahesh Electric Works,Mahesh Kr. Dhiman,Shamli,ELECTRICAL & ELECTRONICS
1261,2295,P.P. Cattle Foods,Parveen Sangal,Shamli,
1262,2296,Oxford Paint (India),Mukesh Kumar,Shamli,CHEMICAL & PETROLEUM
1263,2297,Gulshan Industries,K.K. Narula,Shamli,MISCELLANEOUS
1264,2299,Swastik Industires,Kapil Goel,Shamli,MISCELLANEOUS
1265,2300,Rajeev Agro Industries,Rajeev Jain,Shamli,AGRICULTURE  IMPLEMENTS  &  MACHINERY
1266,2301,Rama Agriculture Industries,Ravindra Kumar,Shamli,AGRICULTURE  IMPLEMENTS  &  MACHINERY
1267,2303,Asha Ram & Sons,Mukesh kumar,Shamli,MISCELLANEOUS
1268,2304,Aggarwal Krishi Udyog,Manoj Aggarwal,Shamli,AGRICULTURE  IMPLEMENTS  &  MACHINERY
1269,2305,Saini Splint,Anil Saini,Shamli,WOOD  & WOOD PROUCTS
1270,2306,Sale Tax & Income Tax Advocate,Narendra Mittal ,Shamli,SERVICE
1271,2307,Silver Bells Public School,Ajay Kumar Singhal,Shamli,SERVICE
1272,2308,Jai Krishi Udyog,MUKESH JAIN,Shamli,AGRICULTURE  IMPLEMENTS  &  MACHINERY
1273,2309,Sukhmall Chand Metal Industries,Subhash Jain,Shamli,METAL
1274,2310,Ajay Vishnu Gupta & Company ,Ajay Gupta ,Shamli,SERVICE
1275,2313,Vinayak Spoon,Sandeep Garg,Shamli,WOOD  & WOOD PROUCTS
1276,2314,B.R. Pharma,Dr. Rajesh Jain,Shamli,PHARMACEUTICAL & MEDICAL PRODUCTS
1277,2322,M.B. Flour Mills Industries Pvt. Ltd.,Umesh Chandra Agarwal ,Head Office,AGRO & FOOD PROCESSING
1278,2340,ALLIED LEATHER  FINISHERS Pvt. Ltd.,Nadeem Ajmat,Unnao,FOOTWEAR & LEATHER
1279,2342,Sarla Empex,Hitendra Gupta,Unnao,FOOTWEAR & LEATHER
1280,2343,ACE EXPORTS LTD.,Rhoofi Waki,Unnao,FOOTWEAR & LEATHER
1281,2344,Bharat Woodworks,Moh. Khalid Parvez,Unnao,WOOD  & WOOD PROUCTS
1282,2345,Choithi Industries,Ranjeet Kumar Rajpal,Unnao,WOOD  & WOOD PROUCTS
